,Text,Label,whissel_pls,whissel_act,whissel_img
0,@China_Amb_India Fucking piece of shit your whole community is solely responsible for the Chinese virus. Chinese dipshits should apologise to the world for their existence on this planet.,Hate,1.7839260869565217,1.6438173913043475,1.6521739130434783
1,I’m not being funny but #Coronavirus in....   China  Iran  Italy   That’s some pretty random shit.,Neutral,2.0079111111111114,1.6955666666666664,1.4444444444444444
2,Got on the Victoria Line today to seven sisters and some chinese cunt coughed on me. Decked the cunt in his throat but now im worried that i’m gonna get the bat virus ffs,Hate,1.6806615384615389,1.6232230769230767,1.692307692307692
3,"It's appalling that the media &amp; libtards bitch about the virus being referred to as the ""Chinese Virus"" but no one seems to give a shit about the poor lives of the dogs &amp; cats that are being eaten alive &amp; tortured for food. Why isn't PETA raising hell about this?  Just EVIL.",Hate,1.744927906976744,1.6602674418604653,1.4511627906976743
4,Dude fuck the Chinese man fuck em and if you think what I’m saying is wrong or rude you’re the problem,Hate,1.6808368421052633,1.7288315789473685,1.3894736842105262
5,"Dear @Twitter Could you please kindly TURN ON your Moderation so we the ppl stop seeing the ""Korean / Vietnamese Bitching"" going on under  #COVID19 ? Thank you. Some of us r interested in the #Coronavirus information not in Asian bitching... Thank you in advance...",Neutral,1.9150633333333327,1.7233500000000002,1.6266666666666671
6,@realDonaldTrump so much for it being the Chinese virus..yo ass sponsored the fucking country’s quarantine https://t.co/oxTRUbhJ6m,Neutral,1.7571363636363635,1.6782727272727271,1.5454545454545454
7,@ToolFree2point0 @koreanjewcrypto ☝️☝️☝️☝️Just like the media blowing up the terms “Chinese Virus” and “Wuhan Virus” and then callin Trump racist as soon as he starts saying it.  They are hypocritical pieces of shit.,Non-Asian Aggression,1.7211749999999997,1.7754625,1.5249999999999997
8,@BarrazaSdfjbjr @UofAlec You cant blame donald Trump for a virus spreading across every country on the planet. He was being impeached in america when the outbreak was in Wuhan China. Blame the people who worked in the labs or ate a bat in Wuhan. Those dumb fucks are responsible way more than trump. 😂,Hate,1.7047307692307687,1.6439512820512823,1.5538461538461543
9,Fuck you China and your Chinese virus 😡 Rest in peace Pickup man 🙏🙏,Hate,1.7805181818181817,1.8150454545454544,1.9454545454545455
